Sonnet,Length
Sonnet 1,106
Sonnet 2,115
Sonnet 3,115
Sonnet 4,104
Sonnet 5,104
Sonnet 6,110
Sonnet 7,101
Sonnet 8,110
Sonnet 9,118
Sonnet 10,115
Sonnet 11,116
Sonnet 12,118
Sonnet 13,112
Sonnet 14,113
Sonnet 15,111
Sonnet 16,112
Sonnet 17,124
Sonnet 18,114
Sonnet 19,115
Sonnet 20,114
Sonnet 21,118
Sonnet 22,123
Sonnet 23,114
Sonnet 24,120
Sonnet 25,108
Sonnet 26,118
Sonnet 27,112
Sonnet 28,116
Sonnet 29,116
Sonnet 30,116
Sonnet 31,115
Sonnet 32,114
Sonnet 33,110
Sonnet 34,120
Sonnet 35,108
Sonnet 36,113
Sonnet 37,116
Sonnet 38,114
Sonnet 39,119
Sonnet 40,122
Sonnet 41,110
Sonnet 42,130
Sonnet 43,122
Sonnet 44,117
Sonnet 45,105
Sonnet 46,115
Sonnet 47,123
Sonnet 48,117
Sonnet 49,114
Sonnet 50,118
Sonnet 51,119
Sonnet 52,109
Sonnet 53,107
Sonnet 54,112
Sonnet 55,107
Sonnet 56,112
Sonnet 57,118
Sonnet 58,114
Sonnet 59,109
Sonnet 60,108
Sonnet 61,121
Sonnet 62,111
Sonnet 63,110
Sonnet 64,112
Sonnet 65,112
Sonnet 66,89
Sonnet 67,107
Sonnet 68,109
Sonnet 69,123
Sonnet 70,110
Sonnet 71,123
Sonnet 72,119
Sonnet 73,121
Sonnet 74,113
Sonnet 75,117
Sonnet 76,114
Sonnet 77,107
Sonnet 78,110
Sonnet 79,118
Sonnet 80,116
Sonnet 81,117
Sonnet 82,105
Sonnet 83,117
Sonnet 84,115
Sonnet 85,111
Sonnet 86,110
Sonnet 87,118
Sonnet 88,115
Sonnet 89,113
Sonnet 90,121
Sonnet 91,114
Sonnet 92,121
Sonnet 93,114
Sonnet 94,107
Sonnet 95,112
Sonnet 96,120
Sonnet 97,107
Sonnet 98,118
Sonnet 99,125
Sonnet 100,110
Sonnet 101,114
Sonnet 102,117
Sonnet 103,117
Sonnet 104,118
Sonnet 105,105
Sonnet 106,110
Sonnet 107,113
Sonnet 108,115
Sonnet 109,117
Sonnet 110,119
Sonnet 111,110
Sonnet 112,116
Sonnet 113,117
Sonnet 114,114
Sonnet 115,115
Sonnet 116,109
Sonnet 117,110
Sonnet 118,112
Sonnet 119,115
Sonnet 120,117
Sonnet 121,115
Sonnet 122,105
Sonnet 123,116
Sonnet 124,109
Sonnet 125,105
Sonnet 126,96
Sonnet 127,111
Sonnet 128,111
Sonnet 129,110
Sonnet 130,123
Sonnet 131,120
Sonnet 132,114
Sonnet 133,124
Sonnet 134,122
Sonnet 135,116
Sonnet 136,124
Sonnet 137,124
Sonnet 138,117
Sonnet 139,120
Sonnet 140,118
Sonnet 141,118
Sonnet 142,117
Sonnet 143,119
Sonnet 144,113
Sonnet 145,97
Sonnet 146,112
Sonnet 147,108
Sonnet 148,124
Sonnet 149,120
Sonnet 150,118
Sonnet 151,119
Sonnet 152,124
Sonnet 153,109
Sonnet 154,107
